,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal_(Y/N),Time,Species,original_order,Continent
4076,Aug,1959.0,Unprovoked,usa,Georgia,"Savannah Beach, Savannah, Chatham County",Seashore,F,15.0,N,night,Unespcific,2227.0,North_America
4077,Aug,1959.0,Invalid,usa,California,"Hermosa Beach, Los Angeles County",Seashore,M,27.32,,,Lemon shark,2226.0,North_America
4078,,1959.0,Invalid,italy,Tuscany,"Cala del Corvo, Isola del Giglio",Diving,M,34.0,,,Tiger shark,2225.0,Europe
4079,Jul,1959.0,Provoked,usa,California,"In kelp beds off La Jolla, San Diego County",Rare_act.,M,27.32,N,afternoon,White shark,2224.0,North_America
4080,Jul,1959.0,Unprovoked,usa,California,"Alligator Head, La Jolla, San Diego County",Fish,M,25.0,N,night,Tiger shark,2223.0,North_America
4081,Jul,1959.0,Unprovoked,japan,Okayama Prefecture,Ushimado,,M,22.0,Y,afternoon,Lemon shark,2222.0,Unknown
4082,Jul,1959.0,Boat,usa,California,"Mission Beach, San Diego County",,F,21.0,N,,Unespcific,2221.0,North_America
4083,Jul,1959.0,Boat,usa,California,"Off La Jolla Cove, San Diego County",Fish,F,27.32,N,,Unespcific,2220.0,North_America
4084,Jul,1959.0,Provoked,usa,California,"Venice Beach, Los Angeles County",Seashore,M,27.32,N,,Lemon shark,2219.0,North_America
4085,Jul,1959.0,Sea Disaster,caribbean sea,PANAMA,"Off Cristobal, 200 miles northeast of the entrance to the Panama Canal",Rare_act.,F,27.0,Y,,Unespcific,2218.0,Unknown
4086,Jul,1959.0,Provoked,usa,Florida,"Delray Beach, Palm Beach County",Diving,M,13.0,N,,Tiger shark,2217.0,North_America
4087,Jul,1959.0,Boat,north atlantic ocean,In the Gulf Stream ,Between Bimini & Miami,,M,27.32,N,,White shark,2216.0,Unknown
4088,Jul,1959.0,Unprovoked,mexico,Quintana Roo,Chinchorro Banks,Seashore,M,27.32,Y,,Unespcific,2215.0,Central_America
4089,Jun,1959.0,Unprovoked,turkey,Mersin Province,Off Mezitli,,M,27.32,N,,Unespcific,2214.0,Unknown
4090,Jun,1959.0,Unprovoked,mexico,Guyamas,San Pedro Nolasco Island,Swim,M,27.32,Y,,Unespcific,2213.0,Central_America
4091,Jun,1959.0,Unprovoked,usa,California,"La Jolla, San Diego County",Diving,M,33.0,Y,afternoon,White shark,2212.0,North_America
4092,Jun,1959.0,Invalid,usa,California,"Dillon Beach, Marin County",Swim,M,27.32,,,Tiger shark,2211.0,North_America
4093,May,1959.0,Provoked,south africa,Eastern Cape Province,"Bird Island, Algoa Bay",Fish,M,23.0,N,,White shark,2210.0,Africa
4094,May,1959.0,Unprovoked,usa,Florida,"Indian Rocks Beach, Clearwater, Pinellas County",,F,37.0,N,,Unespcific,2209.0,North_America
4095,May,1959.0,Unprovoked,usa,California,"Baker Beach, San Francisco County",Swim,M,18.0,Y,afternoon,White shark,2208.0,North_America
4096,May,1959.0,Unprovoked,usa,Florida,"Panama City, Bay County",Fish,M,19.0,N,day-morning,Tiger shark,2207.0,North_America
4097,May,1959.0,Unprovoked,mid atlantic ocean,Between England & South Africa,,On_boat,M,27.32,N,,Unespcific,2206.0,Unknown
4098,Apr,1959.0,Invalid,australia,New South Wales,Maroubra Bay,Fish,M,22.0,,,Tiger shark,2205.0,Oceania
4099,Apr,1959.0,Unprovoked,australia,Torres Strait,"Coconut Island , 100 miles east of Thursday Island",Diving,M,43.0,N,,Tiger shark,2204.0,Oceania
4100,Apr,1959.0,Unprovoked,usa,Hawaii,"Hilo, off Kaua'i",Fish,M,27.32,N,,Unespcific,2203.0,North_America
4101,Apr,1959.0,Unprovoked,south africa,Eastern Cape Province,Port Elizabeth ,Fish,M,27.32,N,,Unespcific,2202.0,Africa
4102,Apr,1959.0,Unprovoked,australia,New South Wales,Thirroul,Fish,M,27.32,N,,Unespcific,2201.0,Oceania
4103,Mar,1959.0,Unprovoked,usa,Florida,"Vaca Cut Channel & bridge under Marathon, Monroe County",Swim,M,13.0,N,afternoon,Unespcific,2200.0,North_America
4104,Mar,1959.0,Unprovoked,philippines,Mindanao,"Mouth of Langoyan River, Davao City",On_boat,M,20.0,Y,,Unespcific,2199.0,Asia
4105,Mar,1959.0,Boat,usa,Florida,Miami,On_boat,M,27.32,N,,Tiger shark,2198.0,North_America
4106,Feb,1959.0,Boat,australia,Victoria,Port Phillip Bay,Fish,M,27.32,N,,Tiger shark,2197.0,Oceania
4107,Feb,1959.0,Unprovoked,venezuela,Nueva Esparta,Margarita Island,Fish,M,27.32,N,,Unespcific,2196.0,Unknown
4108,Feb,1959.0,Provoked,papua new guinea, Kikori River mouth,"Ururumba, mouth of Kikori River 7.45S, 144.40E",Fish,M,27.32,N,,Unespcific,2195.0,Oceania
4109,Feb,1959.0,Unprovoked,solomon islands,Guadalcanal Province,"Trenchs Beach, Guadalcanal Island",Rare_act.,M,15.0,Y,afternoon,Unespcific,2194.0,Unknown
4110,Feb,1959.0,Unprovoked,south africa,KwaZulu-Natal,Port Shepstone,Swim,M,14.0,N,afternoon,Tiger shark,2193.0,Africa
4111,Jan,1959.0,Unprovoked,australia,Western Australia,South Perth,Rare_act.,M,20.0,N,night,Grey shark,2192.0,Oceania
4112,Jan,1959.0,Unprovoked,ecuador,Galapagos Islands,Crewing on  the tuna clipper Mary Barbara,Fish,M,57.0,N,,Tiger shark,2191.0,Unknown
4113,Jan,1959.0,Unprovoked,australia,Tasmania,"Whale Bay, King Island, Bass Strait",Swim,M,16.0,N,,Unespcific,2190.0,Oceania
4114,Jan,1959.0,Unprovoked,australia,Tasmania,Safety Cove,On_boat,M,22.0,Y,afternoon,Tiger shark,2189.0,Oceania
4115,Jan,1959.0,Unprovoked,australia,Queensland,Alexandra Headland near Mooloolaba,Surf,M,17.0,N,day-morning,Unespcific,2188.0,Oceania
4116,Jan,1959.0,Unprovoked,south africa,Western Cape Province,Melkbaai,Swim,M,18.0,N,afternoon,White shark,2187.0,Africa
4117,Jan,1959.0,Unprovoked,new guinea,Milne Bay Province,"Uga, Banaira, Milne Bay",Rare_act.,M,27.32,N,,Unespcific,2186.0,Unknown
4118,Jan,1959.0,Unprovoked,mozambique,Maputo Province,Off Inhaca Island,Fish,M,33.0,Y,day-morning,Unespcific,2185.0,Unknown
4119,Jan,1959.0,Unprovoked,australia,Tasmania,Badger Head,Fish,M,27.32,N,,Unespcific,2184.0,Oceania
4120,,1959.0,Unprovoked,south korea,South Chungcheong Province,"36º17'N,  126º31'E",Swim,M,27.32,Y,,White shark,2183.0,Unknown
4121,Jul,1959.0,Unprovoked,india,Orissa,Mouth of Devi River at Machgaon,,F,27.32,Y,,Tiger shark,2182.0,Unknown
4122,,1959.0,Provoked,atlantic ocean,,,Rare_act.,M,27.32,N,,Tiger shark,2181.0,Unknown
4123,,1959.0,Unprovoked,papua new guinea,West New Britain Province,"Poi, Kombe Talasea",Fish,M,27.32,N,,Unespcific,2180.0,Oceania
4124,,1959.0,Unprovoked,papua new guinea,West New Britain Province,"Kalapiai, Kombe",Fish,M,27.32,N,,Unespcific,2179.0,Oceania
4125,,1959.0,Unprovoked,papua new guinea,"New Ireland Province, Bismarck Archipelago","Enuk Island, Kavieng",,M,27.32,Y,,Unespcific,2178.0,Oceania
4126,,1959.0,Provoked,papua new guinea,Morobe Province,,Fish,M,27.32,N,,Unespcific,2177.0,Oceania
4127,Dec,1958.0,Boat,turkey,Ahirkapi coast,Constantinople,Fish,F,27.32,,,White shark,2176.0,Unknown
4128,Dec,1958.0,Unprovoked,papua new guinea,Madang Province,Taludig,,F,27.32,N,,Unespcific,2175.0,Oceania
4129,Dec,1958.0,Unprovoked,south africa,Western Cape Province,"Melkbaai, False Bay",Swim,M,14.0,Y,,Unespcific,2174.0,Africa
4130,Dec,1958.0,Unprovoked,usa,Hawaii,"Near Twin Islands off Lanikai, O'ahu (east coast)",Surf,M,15.0,Y,afternoon,Tiger shark,2173.0,North_America
4131,Dec,1958.0,Unprovoked,american samoa,Tutuila Island,Van Camp wharf,On_boat,M,22.0,Y,day-morning,Tiger shark,2172.0,Unknown
4132,Nov,1958.0,Unprovoked,australia,Queensland,Surfer's Paradise,Swim,M,21.0,Y,afternoon,Unespcific,2171.0,Oceania
4133,Nov,1958.0,Invalid,south africa,Western Cape Province,False Bay,Fish,M,27.32,,,Tiger shark,2170.0,Africa
4134,Nov,1958.0,Unprovoked,papua new guinea,"Admiralty Islands, Manus Province","M'Buke, south of Manus Island",Fish,M,27.32,Y,,Unespcific,2169.0,Oceania
4135,Nov,1958.0,Boat,usa,California,"Pacific Beach, San Diego County",Fish,M,27.32,N,,White shark,2168.0,North_America
4136,Oct,1958.0,Unprovoked,usa,California,"Coronado Strand, San Diego County",Swim,M,15.0,N,,Unespcific,2167.0,North_America
4137,Oct,1958.0,Unprovoked,usa,Florida,"Baker's Haulover, Miami Beach",,M,60.0,N,,Unespcific,2166.0,North_America
4138,Oct,1958.0,Provoked,mexico,Guerrrero,Acapulco,Rare_act.,M,27.32,N,,Unespcific,2165.0,Central_America
4139,Oct,1958.0,Unprovoked,papua new guinea,West New Britain Province,"East Nakanai, Talasea",Rare_act.,M,26.0,N,,Unespcific,2164.0,Oceania
4140,Sep,1958.0,Unprovoked,andaman / nicobar islandas,,,On_boat,M,32.0,Y,afternoon,Lemon shark,2163.0,Unknown
4141,Sep,1958.0,Unprovoked,bahamas,Cat Cay,off yacht Serenade,Fish,M,42.0,N,day-morning,Lemon shark,2162.0,Central_America
4142,Sep,1958.0,Provoked,usa,New York,Staten Island,Fish,M,20.0,N,,Unespcific,2161.0,North_America
4143,Aug,1958.0,Boat,mexico,Baja California,Ensenada,On_boat,F,27.32,N,day-morning,Unespcific,2160.0,Central_America
4144,Aug,1958.0,Unprovoked,croatia,Primorje-Gorski Kotar County,Mo?eni?ka Draga,Swim,F,27.32,N,night,Unespcific,2159.0,Unknown
4145,Jul,1958.0,Unprovoked,mexico,Guerrero,"Caleta Beach, Acapulco",Swim,F,27.32,Y,,Unespcific,2158.0,Central_America
4146,Jul,1958.0,Unprovoked,usa,Florida,"9 miles north of Turtle Beach, Siesta Key, Sarasota County",Swim,M,12.0,N,afternoon,Tiger shark,2157.0,North_America
4147,Jul,1958.0,Unprovoked,usa,Florida,"Longboat Key, Sarasota, Sarasota County",Swim,M,8.0,N,afternoon,Tiger shark,2156.0,North_America
